Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,emission_types
Cornerstone Chemical Company,Waggaman,Louisiana,70094,10800 River Road,JEFFERSON PARISH,29.958889,-90.270472,325199,"C,X",Chemicals,377762.056,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petrochemical Production
"Corning Pharmaceutical Glass, LLC",VINELAND,New Jersey,8360,563 CRYSTAL AVENUE,CUMBERLAND COUNTY,39.496587,-75.015537,327212,"C,N",Minerals,31176.482,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
Corona Compressor Station,Smithfield,West Virginia,26437,5082 Gilbert Ridge Road,,39.51748,-80.539649,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,37086.962,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Transmission/Compression
Coronado Generating Station,ST JOHNS,Arizona,85936,,Apache,34.5778,-109.2717,221112,"C,D,HH","Power Plants,Waste",3167439.914,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation<br>Municipal Landfills
Corpus Christi Energy Center,CORPUS CHRISTI,Texas,78407,3952 BUDDY LAWRENCE DRIVE,Nueces,27.8139,-97.4283,221112,"C,D",Power Plants,1260307.862,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Corpus Christi Liquefaction,Gregory,Texas,78359,2822 La Quinta Rd,,27.886226,-97.273453,221210,"C,W-LNGIE",Petroleum and Natural Gas Systems,1795986.708,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – LNG Import/Export
Corpus Christi Terminal Condensate Splitter,Corpus Christi,Texas,78407,1802 Poth Lane,NUECES COUNTY,27.8118,-97.435652,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",64810.928,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum Refining
Corteva agriscience - Pittsburg Operations,PITTSBURG,California,94565,901 LOVERIDGE ROAD,CONTRA COSTA COUNTY,38.023129,-121.855352,325199,C,Chemicals,40855.896,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
"Cos-Mar Company, Styrene Monomer Plant",Carville,Louisiana,70721,6325 Highway 75,IBERVILLE PARISH,30.225083,-91.069424,325110,C,Chemicals,350924.592,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
Cosmopolis Pulp Mill,Cosmopolis,Washington,98537,1701 First St,GRAYS HARBOR COUNTY,46.953543,-123.761737,322110,"AA,C,TT","Pulp and Paper,Waste",19933.828,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Pulp and Paper Manufacturing<br>Industrial Waste Landfills
